Schema:sameAs	dc:identifier	2 schema:name	schema:description	schema:url	schema:email	Scope of the Initiative	7 rdf:type	schema:streetAddress	schema:locality	Schema:country
	673116	Bangladesh Open University	Open University of Bangladesh modelled on the UK Open University	http://www.bou.edu.bd	regi@bou.edu.bd	National	schema:Service		Board Bazar	BD
http://lobid.org/oer/9572f9fb-edf8-403e-8292-a2858c4d55ac#!	673117	BC Campus Canada	In the Canadian province of British Columbia the BCCampus OER initiative has been implemented in all 25 public post secondary institutions which provide about 180,000 student spaces to urban and rural students dispersed over an area which is larger than France and Germany combined	http://www.bccampus.ca/	helpdesk@bccampus.ca	National	schema:Organization			CA
	673118	BerLin project	Funded by HEFCE/JISC/HEA this project enhances and expands Nottingham’s existing Open Educational Repository, u-Now, one of the first OERs in the UK and a member of the international Open Courseware Consortium. Through providing guidance and advice, BERLiN benefits the whole of the UK sector by disseminating our experiences, as well as the outcomes of the project itself which is aimed at exploring the issues raised in the wider take-up and development of an OER.	http://unow.nottingham.ac.uk/berlin.html		Institutional	foaf:Project		Nottingham	GB
	673119	Biosciences Interactive Manual	Identifying and Resolving Problems in OER for Biosciences	http://www.bioscience.heacademy.ac.uk/resources/oer/index.aspx		National	foaf:Project		Leeds	GB
	673120	BPU Buenos Aires		http://www.bpwbuenosaires.com.ar		National	schema:Service	Tucuman 637 3	Buenos Aires	AR
	673121	DeHub	2009 Initiative funded by the Australian government, including the University of Charles Sturt, Queensland and the University of New England (USA) to promote OER throughout Australia.	http://www.dehub.edu.au/	cbossu3@une.edu.au	National	schema:Service			AU
http://lobid.org/oer/97162553-8719-4d1e-91f0-715d11992bd6#!	673122	Delft University of Technology	Delft University of Technology has joined the OpenCourseWare Consortium in offering the world free access to certain course content online.	http://home.tudelft.nl/en/	info@tudelft.nl	Regional	schema:Service		Delft	NL
	673123	DEMA	Catalonian Repository	http://www.dema.cat		National	schema:Organization	Trafagar, 25 2n 2A	Barcelona	ES
	673124	CITIDEL (Computing and Information Technology Interactive Digital Educational Library)	A collaboration between Hofstra University, the College of New Jersey, Pennsylvania State University, Villanova University and Virginia Tech, as part of the US National Science Foundation's National Science Digital Library Project, to create a portal.	http://www.citidel.org/	info@edu-sharing.net	Institutional	schema:Service	NA	NA	US
	673125	Fair Use Network		http://fairusenetwork.com/	lquilter@lquilter.net	National	schema:Organization	George Street	Providence, RI	US
	673126	Fantasy Foundation of Culture &amp; Arts	"Lucifer Chu, the ""Lord of the Rings"" translator founded Opensource OpenCourseWare Prototype System in 2004, the staff and volunteers have translated 1,040 MIT courses and hundreds of other educational materials."	http://www.myoops.org/	lucifer.chu@gmail.com	National	schema:Service			US
	673127	Fathom Archive	Fathom Knowledge Network Inc., founded by Columbia University, launched in the spring of 2000 with the goal of providing high quality educational resources to a global audience through the Internet. The Fathom academic consortium grew to include 14 leadin	http://www.fathom.com/	bohagan@columbia.edu	National	schema:Service		New York	US
	673128	Fern Universitat in Hagen	Distant learning Project	http://www.fernuni-hagen.de/		Regional	schema:Organization		Hagen	DE
	673129	FETLAR OER Project	The Finding Electronic Teaching, Learning and Assessment Resources is commited to helping students to improve mathematic skills and competencies and raise the retention rate of students in the first year.	http://stack.bham.ac.uk/course/view.php?id=14		National	schema:Organization		Liverpool	GB
http://lobid.org/oer/74c309b0-8064-4f0b-bd32-93d5f73f7247#!	673130	FGV Online	A School of Management online in Brazil	htpp://www.fgv.br/fgvonline		National	schema:Organization	rue da Candelaria, 6-Centro	Rio de Janeiro	BR
	673131	FHSST	Free High School Science Texts	http://www.fhsst.org/		National	schema:Service		Cape Town	ZA
	673132	FLOE	The FLOE (Flexible Learning for Open Education) Project supports the OER community in providing a sustainable, integrated approach to accessible learning, addressing the needs of learners who currently face barriers.	http://www.floeproject.org/node/3		National	schema:Service	205 Richard Street W	Toronto, Ontario	CA
	673134	New World University	New World University uses open educational resources and distance learning to bring affordable quality higher education to students worldwide.  It is based in Dominica, West Indies, a small island developing state, and partners with educational organisations throughout the Global South.  Its Free Curricula Centre serves as a repository for the openly licensed textbooks used in its programmes.	http://newworld.ac	info@newworld.ac	Global	schema:Organization	3 Munro Street	Goodwill	DM
	673135	Free Knowledge Institute	The Free Knowledge Institute believes that by promoting the use of free knowledge in the fields of Technology, Education, Culture and Science  more individuals and organisations will profit from the benefits of sharing knowledge.	http://freeknowledge.eu/	access@freeknowledge.eu	Institutional	schema:Organization	Cruquiuskade 219	Amsterdam	NL
	673136	Free-Ed	Founded in 1997 by David L. Heiserman to provide free, quality course materials over the Internet for a global audience of self learners, covering areas of professional need, as well as critical academic areas.	http://www.free-ed.net/free-ed/		National	schema:Service	7254 Clancy Way	Westerville	US
	673137	FreeReading	FreeReading is an open-source instructional program that helps educators teach early literacy. Because it is open-source, it represents the collective wisdom of a wide community of teachers and researchers. FreeReading contains a 40-week scope.	http://www.freereading.net		Global	schema:Service		Minneapolis	US
	673138	Fulbright Economics Teaching Program OpenCourseWare	Fulbright Economics Teaching Program OCW provides access to course materials (syllibi, lecture notes, reading lists, problem sets etc.) in English and Vietnamese for all FETP courses. FETP is a partnership of the University of Economics, Ho Chi Minh C	http://ocw.fetp.edu.vn/en/opencourseware/fetp-opencourseware/		Global	schema:Service	232\/6 Vo Thi Sau Street, District 3	Ho Chi Minh City	VN
	673139	DIDASCA	DIDASCA - the first Italian cyber school for lifelong learning – has launched a national digital textbook project. DIDASknol is a digital textbook written by teachers, in co-operation with their students. DIDASknol is based on Google Knols - education kno	http://www.didasca.it	info@didasca.it	National	schema:Service	Via Rigazzi del 9 n.19	Sondrio	IT
	673141	DiscoverEd	An experimental project from ccLearn that attempts to provide scalable search and discovery for educational resources on the web. Metadata, including the license and subject information available, are exposed in the result set	http://wiki.creativecommons.org/DiscoverEd	info@creativecommons.org	Institutional	foaf:Project	444 Castro Street, Suite 900	Mountain View	US
	673142	DLESE (Digital Library for Earth System Education)	Funded by the US National Science Foundation, DLESE provides learners and educators at all levels with access to materials to support Earth system science education. The collection includes lesson plans, maps, images, data sets, assessment activities.	http://www.dlese.org/library/	support@dlese.org	National	schema:Service	P.O. Box 3000	Boulder, CO 80307	US
	673143	DLorn (Distributed Learning Object Repository Network)	"Aims to be a ""one-stop source for learning object syndication"". DLorn harvests and stores learning object metadata from across the web."	http://www.downes.ca/cgi-bin/dlorn/dlorn		National	foaf:Project			CA
	673144	Dublin Core Metadata Initiative	The Dublin Core Metadata Initiative is the body responsible for the ongoing maintenance of Dublin Core - an interoperable metadata standard. DCMI is currently hosted by the OCLC Online Computer Library Center, Inc., a not-for-profit international library	http://dublincore.org/	dcmi-feedback@dublincore.net	Institutional	schema:Organization			SG
	673146	EDU FI	ope.fi is a free service open for all aimed at teachers in Finland. The service is focusing on providing digital learning materials that would otherwise not be published i.e. materials that are not of interest for the commercial publishing companies,materials that are not likely to have large enough audience in order to make publishing worthwhile from the economics point of view.	http://www.edu.fi/		National	schema:Service		Helsinki	FI
	673147	EducaNext Project	EducaNext is a service supporting the creation and sharing of knowledge for Higher Education. It is open to any member of the academic or research community.	http://www.educanext.org/register/?return_url=%2fdotlrn%2findex	andreas.mulley@educanext.org	National	schema:Service		Vienna	AT
	673148	Education Services Australia	Education Services Australia	http://www.esa.edu.au/about-us/about-us	info@esa.edu.au	National	schema:Organization	PO Box 177 Carlton South	Melbourne	AU
	673149	EduCause	EDUCAUSE helps those who lead, manage, and use information resources to shape strategic decisions at every level. A comprehensive range of resources and activities is available to all interested employees at EDUCAUSE member organizations.	http://www.educause.edu/Community/MemDir/Profiles/DianaOblinger/40118	info@educause.edu	National	schema:Service	282 Century Place, Suite 5000	Louisville, CO 80027	US
	673150	eduCommons	An open source OER management system, developed by Utah State University's Center for Open and Sustainable Learning and available from SourceForge. eduCommons is designed to support MIT-type open courseware projects. It provides the functionality to develop and manage an open access collection, including a workflow process that leads users through uploading materials into a repository, the copyright clearance process, reassembly of materials into courses, a quality assurance process, and final publication of the materials.	http://sourceforge.net/projects/educommons/	sfnet_ops@geek.net	Institutional	schema:Service			US
	673151	Eduforge	Eduforge is an open access environment designed for the sharing of ideas, research outcomes, open content and open source software for education. Individuals are welcome to use its community resources or start a project space for collaboration.	http://www.eduforge.org/		National	foaf:Project		OTAGO	NZ
	673153	edWeb	The edWeb began with a vision to create a better way for people in education — teachers, professors, librarians, administrators, and other education professionals — to connect and share information.	http://www.edwebproject.org/resource.cntnts.html		National	schema:Service		Washington D.C.	US
	673154	EEVL (Enhanced and Evaluated Virtual Library)	Aims to provide access to quality networked engineering, mathematics and computing resources, and be the UK national focal point for online access to information in these subjects. It is run by a team of information specialists from a number of universities.	http://www.techxtra.ac.uk/		National	schema:Service			GB
	673155	EFRARD	Espace Francophone pour la Recherche, le Développement et l’Innovation. English name: Francophone space for Research, Development and Innovation EFRARD aims to build an RTD actors ontology for the Francophone community using a semantic wiki for knowledge management and collaborative RTD.	http://www.efrardwiki.org/w/index.php?title=Accueil		Regional	foaf:Project		Saint Denis	FR
	673156	eGranary Digital Library	Part of the WiderNet Project at the University of Iowa, the eGranary Digital Library provides digital educational resources to institutions in developing countries with little or no Internet connectivity. Through a process of garnering permissions, copying Web sites, and delivering them to intranet Web servers inside partner institutions, the project delivers millions of media rich digital teaching and learning tools can be instantly accessed by patrons over local area networks at no cost.	http://www.widernet.org/egranary/	info@widernet.org	National	schema:Service	201 Communications Center The University of Iowa School of Library and Information Science	Iowa City	US
	673158	Elearning.Romania	"The following objectives direct the activities developed by Elearning.Romania team:
- creating a communication channel for specialists, practitioners, researchers, opinion-leaders and decision-makers in the e-learning domain;
- promoting positive experiences, with a significance for the practice of e-learning, for pre-university and higher education level and also for non-formal education;
- supporting e-learning practitioners and researchers through systematic presentation of theoretical resources available at national and European level;
- disseminating the learning opportunities in e-learning and CAI;
- supporting the activity of governmental institutions in charge with policies, programmes, strategies for implementing ICT in education and training."	http://www.elearning.ro	editor@elearning.ro	National	schema:Organization	Bucharest, 54 Dr. Louis Pasteur str.	Bucharest	RO
	673159	e-LEE (e-Learning Tools for Electrical Engineering)	A project of the European Community SOCRATES programme, the Association for the Promotion of e-Learning Tools for Electrical Engineering aims to develop, disseminate and evalute multimedia learning tools for engineering teaching.	http://www.em.ucv.ro/eLEE/EN/index.htm	damien.grenier@bretagne.ens-cachan.fr	National	schema:Organization	Place de l'Universit\u00e9 1	Louvain-la-Neuve	BE
	673160	eLibrary Project	The eLibrary Projet is a shared student project which provides digitized document texts together with guest comments and background information by the means of the Wikimedia-Software. Its aim is the sustainability of the documents and access to the documents.	http://elib.at/www/wiki/index.php/Hauptseite		National	schema:Service			AT
	673161	Encyclopedia of Life	"The Encyclopedia of Life (EOL; www.eol.org) project is an unprecedented global partnership between the scientific community and the general public.  It constitutes a major effort to create an online reference and participatory website for all 1.9 million currently named and known species and those yet undiscovered organisms. Its mission is to increase awareness and understanding of living nature through an Encyclopedia of Life that gathers, generates and shares knowledge in an open, freely-accessible and trusted digital resource.  Anybody can register as an EOL member and add text, images, videos, comments or tags to EOL pages. Expert curators ensure quality of the core collection by authenticating materials submitted by diverse projects and individual contributors.   Learning and education activities (http://education.eol.org/) in formal and informal settings are a core focus of EOL to improve awareness and understanding of biodiversity globally.  Many of these activities include co-development and sharing of web-based educational tools and best practices that can also utilize the EOL platform for accessing vetted scientific information and sharing outcomes globally.



One of EOL\'s primary partners is the Biodiversity Heritage Library (http://www.biodiversitylibrary.org/)  The Biodiversity Heritage Library (BHL) is a consortium of 12 natural history and botanical libraries that cooperate to digitize and make accessible the legacy literature of biodiversity held in their collections and to make that literature available for open access and responsible use as a part of a global â€œbiodiversity commons.â€



Both EOL and BHL have significant international participation.  EOL currently has seven international partners who are using the EOL information technology platform to organize and serve biodiversity information in their local languages.  The current international partners are located in Australia, the Arab region, China, Costa Rica (i.e., INBio), Mexico, South Africa and The Netherlands.  EOL is in discussions with other regional biodiversity centers around the world.  



Since 2009, the BHL has expanded globally. The European Commissionâ€™s eContentPlus program has recently funded the BHL-Europe project, with 28 institutions, to assemble the European language literature. Additionally, the Chinese Academy of Sciences, the Atlas of Living Australia, Brazil (through SciELO and BIREME), and the Bibliotheca Alexandrina have created regional BHL nodes. These projects will work together to share content, protocols, services, and digital preservation practices."	http://www.eol.org	mstuder@eol.org	Global	schema:Service	26 Oxford Street	Cambridge, (MA)	US
	673162	Engineering Pathway	The Engineering Pathway is a portal to high-quality teaching and learning resources in engineering, applied science and math, computer science/information technology, and engineering technology and is designed for use by K-12 and university educators and students.	http://www.engineeringpathway.com		Global	schema:Service		Berkeley, CA	US
	673163	English Club UT UPBJJ Gorontalo		http://www.gorontalo.ut.ac.id		Regional	schema:Service	Kampus UT UPBJJ	Gorontalo	ID
	673164	Escuala Normal Superior Official de Guanajuato	Mexico Uniiversity	http://www.ensog.edu.mx		Regional	schema:Organization	Carretara Guanajuato, Km 1.5 Colonia Marfil	Guanajuato	MX
	673165	Estonia Country Network	Estonia has three basic axes for repository and practice: The Tiger Leap Fopundation for schools, the Estonian e-learning development center (http://www.e-ope.ee/en/edc) and  tha center for Developing Technology at Tallinn University (http://htk.tlu.ee/ht)	http://www.tiigrihype.ee/?setlang=eng	info@tiigrihype.ee	Institutional	schema:Service		Tallinn	EE
	673166	ETUDES Project	Etudes leads open source software development of teaching, learning and collaboration tools and offers centralized hosting, support, site and account management, training and professional development opportunities to its members.	https://etudes.org/		National	schema:Organization		CA	US
	673167	European Schoolnet	"Since 2002 European Schoolnet (EUN) has engaged in a series of projects involving supporting Ministries of Education (MoE) aimed at building access to open digital learning resources.  Even as the Open Educational Resources movement was in its infancy (the term being coined in 2002), EUN in collaboration with European MoE and industry partners, engaged in research and development projects aimed at establishing systems and methods for distributing open learning resources available in national and regional educational repositories and in developing European quality standards for OER.  To make digital learning content interoperable and easily discoverable, EUN and its partners have particularly developed, tested, and deployed ‘brokerage system’ architectures and services in the course of successive European Comission sponsored projects.
Over the last ten years in a series of small and large-scale school validation pilot projects in Europe, EUN and partner MoEs have built, tested and managed platforms and portals dedicated to fostering communities of practice in sharing expertise, producing user generated resources and distributing open educational content produced by MoEs and other content providers (under a variety of open licenses, including Creative Commons). 
One of the best known and self-sustaining long term outcomes of this work funded in part by EC grants is European Schoolnet’s Learning Resource Exchange (LRE).  The Learning Resource Exchange is an infrastructure comprising a catalog of Open Educational Resources (currently there are more than 200,000 resources referenced in the catalog) representing more than 60 content providers.  The LRE is not a single portal.  Rather the LRE provides the ‘pipes’ to link Open Educational Resource content producers to OER content consumers by organizing, describing and re-distributing OER descriptions to any connected service (e.g., MoE national portals).  There are several steps in this process, all managed by the LRE service.  The LRE works behind the scenes collecting descriptions from providers with open content; this metadata is then fed and organized into the LRE catalog; the next step involves providing access to this catalog to other systems and platforms."	http://lreforschools.eun.org	info@eun.org	Global	schema:Service	Rue des Tr\u00e8ves 61	Brussels	BE
	673168	Exploratories	A project of Brown University's Computer Graphics Research Group to create a set of exemplary Web-based learning objects (Java applets) that teach concepts in introductory computer graphics at the college and graduate level.	http://www.cs.brown.edu/exploratories/home.html	bcz@cs.brown.edu	National	foaf:Project	115 Waterman St., 4th Flr	Providence, RI 02912	US
	673169	GDCO - Gederaf Digital City Organization	ICT Center for Africa	http://gedaref.com/gdcotel.html		Regional	schema:Organization	P.O. Box 15021, 12217 Gederaf	Khartoum	SD
	673170	GEM (Gateway to Educational Materials)	A US consortium effort to provide educators and learners with quick and easy access to thousands of educational resources, including activities, lesson plans, online projects and assessment items suitable for use in the classroom, found on the websites of some 600 consortium members, including US government agencies, educational institutions, non-profit and commercial organizations.	http://www.thegateway.org/	dlcinfo@learningcommons.org	Global	schema:Service			US
	673171	GEODE (Global Education Online Depository &amp; Exchange)	Maintained by the University of Wisconsin System's Institute for Global Studies, GEODE provides users with access to multimedia instructional resources for Global Studies. Users can search by country, region, file format and language, as well as key words.	http://www.uw-igs.org/		National	foaf:Project		Platteville	US
	673172	Global Focus AOTearoa	An initiative of OER	http://www.globalfocus.org.nz/	info@globalfocus.org.nz	National	schema:Service	PO BOX 12240	Wellington	NZ
	673173	Global Text Project	A non-profit organization working to produce an online library of free, customizable electronic textbooks targeting undergraduate students in under-developed economies. These textbooks are freely accessible from the website in PDF with specific distribution upon request. All texts are published under a Creative Commons Licence 3.0 The Project is working on translating select texts into multiple languages including Arabic and Spanish. The Project is funded by the Jaccobs Foundation.	http://globaltext.terry.uga.edu/		Global	schema:Service	University of Georgia, Management Information Systems, Global Text Project, 312 brooks Hall	Athens, Georgia 30602	US
	673174	Global Values Research Foundation		http://www.gvrfindia.com		National	schema:Service		Punjab	IN
	673175	GLOBE	The Global Learning Objects Brokered Exchange (GLOBE) alliance was established between the following founding members: the ARIADNE Foundation in Europe, education.au in Australia, LORNET in Canada, Multimedia Educational Resources for Learning and Online	http://www.globe-info.org/		Global	schema:Service			US
	673176	Google for Educators	Google supports teachers in their efforts to empower students and expand the frontiers of human knowledge. Google offers a teacher’s guide to Google Tools for Your Classroom.	http://www.google.com/edu/teachers/	gteachers@gmail.com	National	schema:Organization		Seattle	US
	673177	GREEN POINT ACADEMY	Indian School for Children	http://greenpointacademy.org	greenpointacademy@gmail.com	Regional	schema:Organization	G.T. Road, Kulti	ANSANSOL	IN
	673178	Harvey Project	Launched in July 1998 with the goal of empowering individual faculty to create their own physiology courses, using high-quality, peer-reviewed, highly interactive learning objects. The project is an international collaboration of educators and researchers.	http://harveyproject.org/		National	schema:Service	4201 Wilson Boulevard	Arlington, Virginia 22230	US
	673179	HEAL (Health Education Assets Library)	Part of the US National Science Foundation's National Science Digital Library Project, the goal of the project is to create a collection of digital teaching and learning resources for medical students and professionals.	http://www.healcentral.org/index.jsp		Global	schema:Service	1901 East South Campus Drive	Salt Lake City	US
	673180	Higher Education for Development	HED gives USAID and State Department grants to US colleges and universities to partner with overseas institutions of higher education. Higher Education for Development aims to diversify, expand, and deepen the engagement of higher education in internation.	www.hedprogram.org	HED@hedprogram.org	Global	schema:Service	One Dupont Circle NW, Suite 420	Washington, DC 20036	US
	673181	Hippocampus	The goal of HippoCampus is to provide high-quality, multimedia content on general education subjects to high school and college students free of charge.	http://www.hippocampus.org		National	schema:Service	P.O. Box 890	Marina, CA	US
http://lobid.org/oer/ea74f718-b909-409b-88c1-3e59802562ae#!	673182	HP Foundation	Hewlett Packard offers grants in three areas: education, health and community. These grants are available in Europe, the Middle East, Asia, the South Pacific, Africa and Latin America, as well as the United States and Canada.	http://www.hp.com/go/hpcatalyst		National	schema:Service			US
	673183	Humbox Project	The HumBox project is part of a wider Open Educational Resources initiative funded by JIS	http://www.humbox.ac.uk		National	schema:Service			GB
	673184	Humbul Humanities Hub	Part of the UK's Resource Discovery Network, and hosted by the University of Oxford, Humbal is dedicated to discovering, evaluating and cataloguing online resources in the humanities. Resources include educational materials, and links to institutions, academic research projects and companies offering educational software.	http://www.humbul.ac.uk/		Global	schema:Service		Oxford	GB
	673185	iBerry.com	Home to the Higher Education Links List (HELL), which provides information and resources for educators, researchers and others with an interest in higher education.	http://iberry.com/cms/index.htm		Global	schema:Service			GB
	673186	IBM Academic Initiatives	The IBM Academic Initiative helps teachers,researchers and faculty worldwide use and implement the latest technology into curriculum and research.	https://www.ibm.com/developerworks/university/academicinitiative/	ews@us.ibm.com	Global	schema:Organization			US
	673188	ICS	The ICS Open Educational Resources (OER) project is part of a wider initiative funded by the JISC (Joint Information Systems Committee) and the HEA, to showcase UK Higher Education by encouraging teachers within HE institutions to publish excellent teaching and learning resources openly on the web.	http://www.ics.heacademy.ac.uk/projects/oer/index.php	heacademy-ics@ulster.ac.uk	Regional	schema:Service			GB
	673189	IDEAS (Interactive Dialogue with Educators from Across the State)	Created for educators in the State of Wisconsin, but available to all, the collection is made up of high quality web-based resources, including lesson plans, teaching resources and professional development resources, sorted by grade/level of education and subject, selected by teams of Wisconsin educators and aligned to State educational standards.	http://ideas.wisconsin.edu/		Regional	schema:Service	432 North Lake Street	Madison, WI	US
	673190	IEARN	A collective professional development site created in 1988.	http://www.iearn.org	ec@iearn.org	Regional	schema:Organization		Tirana	AL
	673191	IEEE Learning Technology Standards Committee (LTSC)	The IEEE Learning Technology Standards Committee develops accredited technical standards, recommended practices, and guides for learning technology, including the Learning Object Metadata (LOM) standard.	http://www.ieeeltsc.org:8080/Plone	tyderichards@gmail.com	Regional	schema:Organization			US
	673192	Chinese Open Resources for Education (CORE)	The Chinese Open Resources for Education (CORE) is an OCW network of 100 higher education institutions in China.	http://www.core.org.cn/en/index.htm		National	schema:Organization		Beijing	CN
	673193	iLumina	Part of the US National Science Foundation's National Science Digital Library Project, iLumina is a digital library of sharable undergraduate teaching materials for chemistry, biology, physics, mathematics and computer science.	http://www.ilumina-dlib.org/		National	schema:Service	4201 Wilson Boulevard, Arlington	Arlington, Virginia 22230	US
	673194	IMS Global Learning Consortium, Inc.	The IMS Global Learning Consortium (IMS GLC) is a global, nonprofit, member organization that strives to enable the growth and impact of learning technology in the education and corporate learning sectors worldwide. IMS GLC members provide leadership in shaping and growing the learning industry through community development of interoperability and adoption practice standards and recognition of the return on investment from learning and educational technology.	http://www.imsglobal.org/	info@imsglobal.org	Global	schema:Organization		Lake Mary, FL	US
	673195	Indian Institute of Technology Madras	Indian University dealing in Moodle and OER initatives	http://www.iitm.ac.in/	mangalasunderk@gmail.com	National	schema:Organization		Chennai 600036, Tamil Nadu	IN
	673196	Institut International des Telecommunications et des TICs		http://www.ito.dz	bkouninef@ito.dz	National	schema:Organization	BP 1518 Oran El mnaouer	Oman	DZ
	673197	Institute for Education	iTeach is devoted to teachers and staff education system.	http://www.iteach.ro		National	schema:Organization	54 Dr. Louis Pasteur Str.	Bucharest	RO
